epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.978,1.58168,1.45322,1.58915,0.74129,0.70339,0.73677,0.30983,2.28809,1.18849,1.92275,2.49561e-05,2.49561e-05,0.0950337
2,423.694,1.47429,1.05959,1.52863,0.80074,0.79205,0.8385,0.39863,1.96181,0.92496,1.55476,4.99557e-05,4.99557e-05,0.0900587
3,624.211,1.41185,0.9267,1.48315,0.85342,0.82259,0.86332,0.42806,1.85365,0.83798,1.50517,7.49532e-05,7.49532e-05,0.0850837
4,823.556,1.40298,0.92037,1.49535,0.8241,0.80698,0.81416,0.43633,1.7847,0.88425,1.49204,9.99474e-05,9.99474e-05,0.0801087
5,1022.79,1.38426,0.87732,1.46844,0.7815,0.84865,0.85103,0.48232,1.54849,0.79751,1.34662,0.000124937,0.000124937,0.0751337
6,1221.35,1.36178,0.86397,1.46449,0.85798,0.82006,0.87296,0.47799,1.53849,0.79816,1.37216,0.00014992,0.00014992,0.0701587
7,1419.17,1.35816,0.83944,1.45413,0.8742,0.84785,0.872,0.46187,1.68112,0.80549,1.42039,0.000174895,0.000174895,0.0651837
8,1616.84,1.33001,0.81713,1.44378,0.86862,0.83221,0.87625,0.43318,1.99084,0.87918,1.59504,0.00019986,0.00019986,0.0602086
9,1814.18,1.31198,0.80317,1.42983,0.87102,0.85024,0.87054,0.4605,1.62186,0.79886,1.4153,0.000224815,0.000224815,0.0552336
10,2011.27,1.28573,0.76529,1.3959,0.82744,0.88305,0.88496,0.51897,1.57753,0.76086,1.40085,0.000249758,0.000249758,0.0502585
11,2208.94,1.27692,0.76631,1.40844,0.87207,0.88082,0.88247,0.52069,1.49465,0.71024,1.34353,0.000274688,0.000274688,0.0452835
12,2406.75,1.28222,0.76423,1.41517,0.88234,0.82913,0.89532,0.55139,1.40934,0.70675,1.30184,0.000299602,0.000299602,0.0403084
13,2604.65,1.29157,0.75118,1.4219,0.85291,0.87568,0.89409,0.58488,1.32671,0.70991,1.27835,0.000324499,0.000324499,0.0353333
14,2802.09,1.2533,0.7267,1.38195,0.84425,0.85479,0.87178,0.55805,1.31248,0.69567,1.26611,0.000349379,0.000349379,0.0303582
15,2998.93,1.24635,0.732,1.38952,0.86666,0.86363,0.86467,0.51541,1.5627,0.73231,1.37442,0.000374239,0.000374239,0.025383
16,3195.69,1.24634,0.71119,1.38277,0.85586,0.81733,0.84471,0.54745,1.27752,0.7657,1.26906,0.000399078,0.000399078,0.0204078
17,3392.41,1.2409,0.71013,1.38046,0.88748,0.83542,0.87477,0.50638,1.44133,0.75582,1.33903,0.000423894,0.000423894,0.0154327
18,3589.15,1.25031,0.69252,1.37013,0.85415,0.88826,0.88729,0.50271,1.52521,0.70504,1.34588,0.000448687,0.000448687,0.0104575
19,3786.04,1.21585,0.68884,1.36156,0.86805,0.86794,0.88859,0.57554,1.34911,0.6965,1.2653,0.000473454,0.000473454,0.00548223
20,3982.75,1.21545,0.6882,1.36993,0.86436,0.87004,0.88472,0.55233,1.42505,0.69194,1.30766,0.000498195,0.000498195,0.000506967
21,4179.53,1.19096,0.67187,1.34858,0.87757,0.83608,0.87031,0.57976,1.2002,0.69251,1.24032,0.000498048,0.000498048,0.000498048
22,4376.21,1.19984,0.66594,1.34772,0.86174,0.86004,0.88892,0.58571,1.2621,0.66733,1.24572,0.000497849,0.000497849,0.000497849
23,4573.74,1.21106,0.67399,1.36298,0.8406,0.86277,0.8811,0.58934,1.24649,0.69295,1.23919,0.000497639,0.000497639,0.000497639
24,4771.64,1.16873,0.64169,1.32933,0.87666,0.86094,0.89166,0.61002,1.24286,0.62495,1.24312,0.00049742,0.00049742,0.00049742
25,4969.02,1.17009,0.63259,1.33745,0.89843,0.85546,0.8782,0.53679,1.33701,0.6686,1.28473,0.000497191,0.000497191,0.000497191
26,5165.48,1.14619,0.6264,1.32283,0.88443,0.85881,0.88734,0.5634,1.25108,0.66882,1.25013,0.000496953,0.000496953,0.000496953
27,5361.83,1.13553,0.62589,1.31041,0.85296,0.88198,0.87655,0.55038,1.36453,0.68105,1.28648,0.000496705,0.000496705,0.000496705
28,5558.29,1.10323,0.60702,1.28995,0.87855,0.89082,0.88145,0.60106,1.19016,0.62489,1.22747,0.000496447,0.000496447,0.000496447
29,5754.75,1.11689,0.60126,1.29446,0.87338,0.87045,0.88495,0.60299,1.15272,0.6434,1.23459,0.00049618,0.00049618,0.00049618
30,5951.21,1.11914,0.61013,1.29391,0.84385,0.91001,0.88747,0.60295,1.19009,0.62874,1.22442,0.000495903,0.000495903,0.000495903
31,6147.79,1.11131,0.60288,1.29533,0.88929,0.8463,0.87156,0.61471,1.10448,0.67381,1.2084,0.000495616,0.000495616,0.000495616
32,6344.98,1.12069,0.59263,1.302,0.89384,0.84114,0.88817,0.61996,1.08759,0.64703,1.17332,0.00049532,0.00049532,0.00049532
33,6542.17,1.07389,0.58122,1.26945,0.8748,0.86092,0.85894,0.57799,1.19031,0.66127,1.22829,0.000495014,0.000495014,0.000495014
34,6738.67,1.06708,0.57854,1.26449,0.88078,0.87136,0.87814,0.6026,1.13916,0.63409,1.22332,0.000494699,0.000494699,0.000494699
35,6935.31,1.09587,0.5768,1.27639,0.89023,0.87074,0.89323,0.6206,1.13499,0.61952,1.18924,0.000494374,0.000494374,0.000494374
36,7132.6,1.06854,0.57501,1.26876,0.86483,0.86818,0.89366,0.62031,1.14186,0.64228,1.23548,0.000494039,0.000494039,0.000494039
37,7329.24,1.08228,0.58778,1.27751,0.89506,0.86325,0.87577,0.59935,1.21153,0.64302,1.2263,0.000493695,0.000493695,0.000493695
38,7525.91,1.06515,0.56675,1.26047,0.85053,0.91052,0.89133,0.63261,1.0815,0.62681,1.19292,0.000493342,0.000493342,0.000493342
39,7723.39,1.03393,0.55304,1.2414,0.87031,0.86033,0.87269,0.60373,1.10657,0.64161,1.19928,0.000492979,0.000492979,0.000492979
40,7919.96,1.05724,0.57463,1.26221,0.87056,0.83482,0.88017,0.62151,1.07018,0.64692,1.18627,0.000492606,0.000492606,0.000492606
41,8116.51,1.03382,0.55386,1.24707,0.88224,0.88682,0.89333,0.61092,1.20538,0.63265,1.2624,0.000492224,0.000492224,0.000492224
42,8313,1.01962,0.54768,1.23437,0.85071,0.87844,0.88688,0.62972,1.08895,0.66499,1.20501,0.000491833,0.000491833,0.000491833
43,8509.5,1.02461,0.55412,1.24453,0.89478,0.88456,0.90458,0.61735,1.13328,0.60565,1.20441,0.000491432,0.000491432,0.000491432
44,8706.01,1.0262,0.55604,1.24869,0.88027,0.8816,0.90144,0.60469,1.16743,0.63045,1.21764,0.000491022,0.000491022,0.000491022
45,8902.52,1.01754,0.54824,1.23185,0.89243,0.89721,0.8852,0.60584,1.17172,0.6323,1.19444,0.000490602,0.000490602,0.000490602
